index,AGS
0,01001000
1,01002000
2,01003000
3,01004000
4,01051001
5,01051002
6,01051003
7,01051004
8,01051005
9,01051006
10,01051008
11,01051010
12,01051011
13,01051012
14,01051013
15,01051014
16,01051015
17,01051016
18,01051017
19,01051019
20,01051020
21,01051021
22,01051022
23,01051023
24,01051024
25,01051026
26,01051027
27,01051028
28,01051030
29,01051032
30,01051033
31,01051034
32,01051035
33,01051036
34,01051037
35,01051038
36,01051039
37,01051043
38,01051044
39,01051045
40,01051046
41,01051047
42,01051048
43,01051049
44,01051050
45,01051051
46,01051052
47,01051053
48,01051054
49,01051057
50,01051058
51,01051060
52,01051061
53,01051062
54,01051063
55,01051064
56,01051065
57,01051067
58,01051068
59,01051069
60,01051071
61,01051072
62,01051073
63,01051074
64,01051075
65,01051076
66,01051077
67,01051078
68,01051079
69,01051080
70,01051081
71,01051082
72,01051083
73,01051084
74,01051085
75,01051086
76,01051087
77,01051088
78,01051089
79,01051090
80,01051092
81,01051093
82,01051096
83,01051097
84,01051098
85,01051099
86,01051100
87,01051102
88,01051103
89,01051104
90,01051105
91,01051107
92,01051108
93,01051109
94,01051110
95,01051113
96,01051114
97,01051117
98,01051118
99,01051119
100,01051120
101,01051121
102,01051122
103,01051125
104,01051126
105,01051127
106,01051128
107,01051129
108,01051130
109,01051131
110,01051132
111,01051133
112,01051134
113,01051135
114,01051136
115,01051137
116,01051138
117,01051139
118,01051140
119,01051141
120,01053001
121,01053002
122,01053003
123,01053004
124,01053005
125,01053006
126,01053007
127,01053008
128,01053009
129,01053010
130,01053011
131,01053012
132,01053013
133,01053014
134,01053015
135,01053016
136,01053017
137,01053018
138,01053019
139,01053020
140,01053021
141,01053022
142,01053023
143,01053024
144,01053025
145,01053026
146,01053027
147,01053028
148,01053029
149,01053030
150,01053031
151,01053032
152,01053033
153,01053034
154,01053035
155,01053036
156,01053037
157,01053038
158,01053039
159,01053040
160,01053041
161,01053042
162,01053043
163,01053044
164,01053045
165,01053046
166,01053047
167,01053048
168,01053049
169,01053050
170,01053051
171,01053052
172,01053053
173,01053054
174,01053056
175,01053057
176,01053058
177,01053059
178,01053060
179,01053061
180,01053062
181,01053064
182,01053066
183,01053067
184,01053068
185,01053069
186,01053070
187,01053071
188,01053072
189,01053073
190,01053074
191,01053075
192,01053076
193,01053077
194,01053078
195,01053079
196,01053080
197,01053081
198,01053082
199,01053083
200,01053084
201,01053085
